variable,count,mean,std,min,25%,50%,75%,max
energy_per_capita,79.0,42605.13702531645,37937.689499798,3023.729,19069.193,32867.98,54757.1645,195336.344
energy_per_gdp,79.0,1.3659367088607595,0.8449399362930335,0.382,0.886,1.16,1.567,4.839
fossil_share_energy,79.0,80.44027848101265,17.431397863784667,17.925,73.435,84.049,93.8485,99.995
renewables_share_energy,79.0,15.616367088607593,15.503404451741801,0.005,4.859999999999999,11.154,22.163,82.075
nuclear_share_energy,79.0,3.943379746835442,7.267561648550495,0.0,0.0,0.0,4.1215,31.803
coal_share_energy,79.0,13.59527848101266,16.436708619098486,0.0,1.663,5.928,19.762,69.892
oil_share_energy,79.0,38.80584810126582,15.266602050100019,10.598,29.0855,36.324,45.891999999999996,91.107
gas_share_energy,79.0,28.039139240506323,21.221085572255227,0.0,13.588,22.099,37.905,89.394
low_carbon_share_energy,79.0,19.559721518987338,17.431397863784667,0.005,6.1515,15.951,26.565,82.075
electricity_demand_per_capita,79.0,6846.160341772152,6934.117330189517,649.172,3048.8115,5293.647,7793.6555,52238.887
